193.164.7.0/24,TR,TR-34,Istanbul,34197
193.164.6.0/24,TR,TR-34,Istanbul,34197
193.164.4.0/24,TR,TR-34,Istanbul,34197
45.155.124.0/24,TR,TR-34,Istanbul,34197
87.248.157.0/24,TR,TR-34,Istanbul,34197
45.87.173.0/24,TR,TR-34,Istanbul,34197
45.133.36.0/24,TR,TR-34,Istanbul,34197
93.177.102.0/24,TR,TR-34,Istanbul,34197
185.169.180.0/24,TR,TR-34,Istanbul,34197
95.214.177.0/24,TR,TR-34,Istanbul,34197
94.154.34.0/24,TR,TR-34,Istanbul,34197
163.5.242.0/24,TR,TR-34,Istanbul,34197
194.105.5.0/24,TR,TR-34,Istanbul,34197
89.47.113.0/24,TR,TR-34,Istanbul,34197
141.11.109.0/24,TR,TR-34,Istanbul,34197
89.213.56.0/24,TR,TR-34,Istanbul,34197
94.154.32.0/24,TR,TR-34,Istanbul,34197
185.240.104.0/24,TR,TR-34,Istanbul,34197
94.154.46.0/24,TR,TR-34,Istanbul,34197
179.61.147.0/24,TR,TR-34,Istanbul,34197
31.57.154.0/24,TR,TR-34,Istanbul,34197
31.57.156.0/24,TR,TR-34,Istanbul,34197
